,freq,Re(Z),-Im(Z),|Z|,Phase(Z),time,<Ewe>,<I>,Cs,Cp,cycle number,I Range,|Ewe|,|I|,Ns,(Q-Qo),THD Ewe,NSD Ewe,NSR Ewe,THD I,NSD I,NSR I,|Ewe h2|,|Ewe h3|,|Ewe h4|,|Ewe h5|,|Ewe h6|,|Ewe h7|,|I h2|,|I h3|,|I h4|,|I h5|,|I h6|,|I h7|,uts
0,1000018.562500000000000,2.958931684494019,-0.855052351951599,3.079998493194580,16.117883682250977,2.768499171448639,0.000827095704153,-0.071144647896290,-0.186131283640862,-0.014345105737448,1.000000000000000,37,0.006948904599994,0.002256138948724,0,-0.000019423292841,0.482429116964340,0.058445505797863,4.665773391723633,0.615726113319397,0.303031295537949,7.239437103271484,0.000031247458537,0.000006352526270,0.000003366619467,0.000003226202807,0.000007074876976,0.000005350115316,0.000010379730156,0.000003822508461,0.000001994138074,0.000004031157914,0.000003150191105,0.000004720115612,1667514167.405499219894409
1,681292.687500000000000,2.503497362136841,-0.641833782196045,2.584463119506836,14.379491806030273,3.595476010726998,0.000788845063653,-0.099780522286892,-0.363968551158905,-0.022447517141700,1.000000000000000,37,0.010116994380951,0.003914543893188,0,-0.000035428692417,0.221770063042641,0.122783459722996,3.255792140960693,0.320258945226669,0.105799943208694,4.228747844696045,0.000015179529328,0.000009795122423,0.000001971932306,0.000006462166311,0.000007313769856,0.000007255908713,0.000009326924555,0.000004624417670,0.000003329345645,0.000003437804025,0.000001226134373,0.000003875413768,1667514168.232475996017456
2,464157.156250000000000,2.290694952011108,-0.445767700672150,2.333664894104004,11.012091636657715,4.449477464630036,0.000819248089101,-0.097953446209431,-0.769212722778320,-0.028066398575902,1.000000000000000,37,0.010673069395125,0.004573522601277,0,-0.000062728842097,0.130169928073883,0.061829268932343,3.017574548721313,0.248096317052841,0.084577135741711,3.707556247711182,0.000005797248832,0.000004447175797,0.000002938058287,0.000005423242783,0.000007781080058,0.000004097622423,0.000005683707514,0.000004573976639,0.000002876240387,0.000003820683560,0.000002073230235,0.000005014362159,1667514169.086477518081665
3,316229.968750000000000,2.188840627670288,-0.287797570228577,2.207679986953735,7.490511417388916,5.303497051849263,0.000798482331447,-0.103360019624233,-1.748759031295776,-0.029718849807978,1.000000000000000,37,0.010775283910334,0.004880818072706,0,-0.000090872481863,0.168913751840591,0.144664883613586,3.028656721115112,0.216503649950027,0.076088361442089,3.487249612808228,0.000005000263172,0.000007184917195,0.000004485255886,0.000009289314221,0.000007777710380,0.000007497585557,0.000004998104941,0.000006781297998,0.000002391657972,0.000002857599839,0.000002945628012,0.000002820369900,1667514169.940497159957886
4,215446.859375000000000,2.143248081207275,-0.171623572707176,2.150108575820923,4.578270435333252,6.157485465781065,0.000821279943921,-0.100097410380840,-4.304305076599121,-0.027424337342381,1.000000000000000,37,0.010766658000648,0.005007495172322,0,-0.000107063368043,0.173442333936691,0.062841601669788,3.082019090652466,0.206483036279678,0.081937350332737,3.380176305770874,0.000003046039183,0.000008588848686,0.000006624759408,0.000004611697932,0.000005619722288,0.000011569803064,0.000005604099442,0.000005165106359,0.000002844187293,0.000002720400744,0.000004673667718,0.000002686395419,1667514170.794485569000244
5,146776.640625000000000,2.125595331192017,-0.072749704122543,2.126839876174927,1.960215449333191,7.011481292982353,0.000827822834253,-0.098233073949814,-14.904998779296875,-0.017439130693674,1.000000000000000,37,0.010721330530941,0.005040967371315,0,-0.000124399259731,0.133381962776184,0.110525019466877,3.005978345870972,0.227307632565498,0.059940110892057,3.414066076278687,0.000003367490081,0.000007706586985,0.000005006896117,0.000005244604836,0.000003719242159,0.000006616243354,0.000006039823347,0.000004905359674,0.000003800284276,0.000005586592124,0.000004002911282,0.000002308562671,1667514171.648481369018555
6,100003.710937500000000,2.122712373733521,0.013053584843874,2.122752428054810,-0.352335005998611,7.865482320223236,0.000803403498139,-0.102838002145290,121.919784545898438,0.004610362928361,1.000000000000000,37,0.010658638551831,0.005021140910685,0,-0.000143697426561,0.142870008945465,0.109267182648182,3.018826961517334,0.258536726236343,0.092351265251637,3.422254323959351,0.000003761812877,0.000008084382898,0.000002466009619,0.000005865368166,0.000007188918062,0.000006710569323,0.000007888274013,0.000008300887202,0.000003008736257,0.000001500051326,0.000003356366278,0.000003679318297,1667514172.502482414245605
7,68132.046875000000000,2.131159782409668,0.090336188673973,2.133073568344116,-2.427216053009033,8.719484760804335,0.000814942060970,-0.099239818751812,25.858713150024414,0.046378724277020,1.000000000000000,37,0.010635869577527,0.004986171144992,0,-0.000168100148616,0.174964487552643,0.082200512290001,3.207175731658936,0.255839318037033,0.076913565397263,3.420037031173706,0.000003168702506,0.000011526253729,0.000004619392257,0.000007519272913,0.000007175082828,0.000006835936347,0.000005385720669,0.000006267178378,0.000001863742114,0.000005108604910,0.000005382456038,0.000004434975381,1667514173.356484889984131
8,46420.351562500000000,2.145514965057373,0.172999143600464,2.152478456497192,-4.609952449798584,9.573498988029314,0.000821279943921,-0.100041486322880,19.818363189697266,0.128020063042641,1.000000000000000,37,0.010606684722006,0.004927661269903,0,-0.000194123590470,0.166869685053825,0.104168474674225,3.033478975296021,0.231286808848381,0.092767067253590,3.443796157836914,0.000010392347576,0.000005517078080,0.000007029004337,0.000005308399977,0.000006291581030,0.000005382466497,0.000008611018529,0.000003715317007,0.000002486769063,0.000002148482508,0.000003185227342,0.000003732372306,1667514174.210499048233032
9,31621.142578125000000,2.165952920913696,0.273527354001999,2.183155775070190,-7.197496891021729,10.427499188604997,0.000771192251705,-0.097822919487953,18.401016235351562,0.288850992918015,1.000000000000000,37,0.010591063648462,0.004851263482124,0,-0.000225932612231,0.186512514948845,0.121214389801025,3.090849876403809,0.227176278829575,0.048735912889242,3.558153152465820,0.000009340365978,0.000008343108675,0.000007401149105,0.000005879271612,0.000008115709534,0.000006010228390,0.000004347511549,0.000004971637281,0.000004387050467,0.000001750681804,0.000005757244708,0.000003908329745,1667514175.064499378204346
